durable_consume_exp_CSI,furniture,home_appliances,import_car_sell,kor_car_sell,durable_consume_exp_CSI_log,durable_consume_exp_CSI_lndiff,kor_car_sell_log,kor_car_sell_lndiff,import_car_sell_log,import_car_sell_lndiff,furniture_log,furniture_lndiff,home_appliances_log,home_appliances_lndiff
94.0,80.1,48.4,78.6,60.2,4.543294782270004,,4.097672352314776,,4.364371699435161,,4.383275854074314,,3.879499813722586,
92.0,74.6,45.3,62.5,55.4,4.5217885770490405,-0.02150620522096336,4.014579593753238,-0.08309275856153775,4.135166556742356,-0.22920514269280456,4.312140507209715,-0.07113534686459833,3.8133070324889884,-0.0661927812335974
92.0,91.1,51.0,84.2,67.7,4.5217885770490405,0.0,4.215086179918229,0.20050658616499106,4.4331949212482815,0.2980283645059254,4.511957804265912,0.19981729705619689,3.9318256327243257,0.11851860023533733
92.0,84.4,49.5,73.7,71.7,4.5217885770490405,0.0,4.272490747605575,0.05740456768734603,4.300002799195291,-0.13319212205299014,4.4355674016019115,-0.07639040266400077,3.901972669574645,-0.02985296314968089
94.0,84.1,56.2,74.2,66.9,4.543294782270004,0.02150620522096336,4.203198967134183,-0.06929178047139217,4.3067641501733345,0.00676135097804309,4.432006566978902,-0.003560834623009157,4.028916756899646,0.12694408732500095
92.0,78.6,55.5,95.3,72.4,4.5217885770490405,-0.02150620522096336,4.282206299391671,0.07900733225748802,4.557029810660157,0.2502656604868223,4.364371699435161,-0.0676348675437417,4.0163830207523885,-0.01253373614725728
91.0,80.5,67.2,83.5,72.7,4.51085950651685,-0.010929070532190721,4.286341384539473,0.004135085147802364,4.42484663185681,-0.13218317880334673,4.388257184424518,0.023885484989357053,4.207673247529104,0.19129022677671514
93.0,81.0,62.1,70.1,64.9,4.532599493153256,0.021739986636406528,4.1728476237100445,-0.11349376082942886,4.249922794040544,-0.17492383781626586,4.394449154672439,0.006191970247921397,4.128745988939433,-0.07892725858967076
93.0,78.3,50.9,83.3,70.6,4.532599493153256,0.0,4.257030144499196,0.08418252078915156,4.422448549172797,0.172525755132253,4.360547602996758,-0.03390155167568132,3.929862923556477,-0.19888306538295586
94.0,88.8,62.0,74.0,80.9,4.543294782270004,0.010695289116747553,4.393213824064446,0.13618367956525024,4.30406509320417,-0.11838345596862698,4.486386649998124,0.1258390470013664,4.127134385045092,0.19727146148861463
96.0,82.6,67.3,86.0,78.6,4.564348191467836,0.021053409197832273,4.364371699435161,-0.028842124629285593,4.454347296253507,0.15028220304933715,4.414009680526933,-0.07237696947119154,4.209160236650682,0.08202585160559028
93.0,81.3,59.1,97.2,101.2,4.532599493153256,-0.031748698314579826,4.617098756853365,0.25272705741820456,4.576770711466393,0.1224234152128858,4.398146016553765,-0.01586366397316752,4.079230924412053,-0.12992931223862936
94.0,77.2,53.5,67.6,59.1,4.543294782270004,0.010695289116747553,4.079230924412053,-0.5378678324413126,4.213607983048918,-0.36316272841747477,4.3463994570307305,-0.05174655952303464,3.979681653901961,-0.09954927051009177
92.0,76.2,51.6,59.8,65.2,4.5217885770490405,-0.02150620522096336,4.177459468932607,0.09822854452055463,4.091005660956586,-0.12260232209233202,4.333361462692601,-0.013037994338129799,3.9435216724875173,-0.03615998141444354
93.0,84.7,56.4,90.3,87.8,4.532599493153256,0.010810916104215806,4.475061500641071,0.2976020317084638,4.5031374604229395,0.41213179946635314,4.439115601658009,0.1057541389654082,4.032469158504013,0.08894748601649605
92.0,80.6,55.7,70.3,84.1,4.5217885770490405,-0.010810916104215806,4.432006566978902,-0.043054933662168615,4.252771798816619,-0.25036566160632034,4.389498649512583,-0.04961695214542594,4.019980146933238,-0.012489011570774977
91.0,79.3,62.6,74.0,87.6,4.51085950651685,-0.010929070532190721,4.472780997942346,0.040774430963443464,4.30406509320417,0.051293294387551036,4.373238128640803,-0.016260520871780315,4.136765278106052,0.11678513117281408
92.0,76.2,66.9,92.8,97.0,4.5217885770490405,0.010929070532190721,4.574710978503383,0.10192998056103697,4.530446639792155,0.2263815465879846,4.333361462692601,-0.03987666594820194,4.203198967134183,0.06643368902813052
93.0,76.5,80.2,63.1,69.3,4.532599493153256,0.010810916104215806,4.238444906195857,-0.3362660723075255,4.144720769547168,-0.38572587024498706,4.33729074083249,0.003929278139889192,4.384523514872469,0.18132454773828588
94.0,81.0,76.7,63.7,62.2,4.543294782270004,0.010695289116747553,4.130354999745133,-0.10808990645072392,4.154184562578117,0.009463793030949574,4.394449154672439,0.05715841383994924,4.33990170837321,-0.04462180649925873
94.0,79.7,57.6,66.5,66.3,4.543294782270004,0.0,4.194189897191817,0.06383489744668314,4.197201947661808,0.04301738508369102,4.378269585796169,-0.016179568876269812,4.053522567701846,-0.2863791406713645
95.0,93.2,65.8,81.4,73.9,4.553876891600541,0.010582109330536937,4.302712827954156,0.10852293076233988,4.399375273008495,0.20217332534668664,4.534747721691546,0.15647813589537662,4.186619838331271,0.13309727062942578
91.0,85.9,69.0,77.0,84.5,4.51085950651685,-0.04301738508369102,4.436751534363128,0.13403870640897164,4.343805421853684,-0.055569851154810834,4.45318382899021,-0.08156389270133602,4.23410650459726,0.0474866662659883
90.0,85.9,64.0,80.4,98.0,4.499809670330265,-0.011049836186584727,4.584967478670572,0.14821594430744423,4.387014176184921,0.0432087543312365,4.45318382899021,0.0,4.1588830833596715,-0.07522342123758818
90.0,79.4,56.1,66.8,62.7,4.499809670330265,0.0,4.138361447638875,-0.44660603103169727,4.2017030805426,-0.1853110956423203,4.37449836825309,-0.07868546073711968,4.027135812528651,-0.13174727083102056
90.0,85.4,55.9,65.5,70.9,4.499809670330265,0.0,4.2612704335380815,0.12290898589920651,4.182050142641207,-0.019652937901393663,4.447346100794524,0.07284773254143406,4.023564380161053,-0.0035714323675977155
92.0,88.8,62.5,89.7,85.5,4.5217885770490405,0.02197890671877545,4.448516375942715,0.18724594240463333,4.49647076906475,0.3144206264235434,4.486386649998124,0.039040549203599895,4.135166556742356,0.11160217658130289
93.0,80.2,67.1,79.0,76.5,4.532599493153256,0.010810916104215806,4.33729074083249,-0.11122563511022499,4.3694478524670215,-0.12702291659772857,4.384523514872469,-0.10186313512565537,4.206184043977636,0.07101748723528001
96.0,78.3,81.8,77.9,80.1,4.564348191467836,0.031748698314579826,4.383275854074314,0.04598511324182386,4.355425952876702,-0.014021899590319187,4.360547602996758,-0.02397591187571102,4.404277243608702,0.19809319963106553
96.0,76.2,79.5,96.5,83.2,4.564348191467836,0.0,4.421247347827163,0.03797149375284903,4.56954300834494,0.2141170554682379,4.333361462692601,-0.027186140304157114,4.375757021660286,-0.028520221948415525
97.0,76.9,94.9,69.3,77.0,4.574710978503383,0.010362787035546717,4.343805421853684,-0.07744192597347865,4.238444906195857,-0.33109810214908286,4.3425058765115985,0.009144413818997776,4.552823705615882,0.1770666839555961
96.0,77.7,75.9,70.0,73.4,4.564348191467836,-0.010362787035546717,4.29592393562047,-0.04788148623321398,4.248495242049359,0.010050335853502013,4.3528552573736015,0.010349380862002988,4.3294166844015844,-0.22340702121429779
96.0,76.9,66.3,80.6,81.6,4.564348191467836,0.0,4.401829261970061,0.10590532634959082,4.389498649512583,0.1410034074632236,4.3425058765115985,-0.010349380862002988,4.194189897191817,-0.13522678720976788
96.0,73.0,72.8,68.9,67.3,4.564348191467836,0.0,4.209160236650682,-0.19266902531937902,4.232656178019613,-0.15684247149297015,4.290459441148391,-0.05204643536320752,4.28771595520264,0.09352605801082348
97.0,75.3,82.5,92.6,84.7,4.574710978503383,0.010362787035546717,4.439115601658009,0.22995536500732694,4.528289141652134,0.2956329636325208,4.321480134805848,0.031020693657456633,4.412798293340635,0.12508233813799485
97.0,80.0,73.8,86.4,78.3,4.574710978503383,0.0,4.360547602996758,-0.07856799866125108,4.45898767581001,-0.06930146584212338,4.382026634673881,0.06054649986803362,4.301358731606427,-0.11143956173420833
97.0,75.4,70.1,94.9,68.9,4.574710978503383,0.0,4.232656178019613,-0.127891424977145,4.552823705615882,0.09383602980587202,4.32280727501391,-0.05921935965997083,4.249922794040544,-0.051435937565882384
97.0,71.8,66.8,82.4,63.1,4.574710978503383,0.0,4.144720769547168,-0.08793540847244508,4.411585436915426,-0.14123826870045608,4.273884476054178,-0.04892279895973228,4.2017030805426,-0.04821971349794385
96.0,86.5,78.9,112.0,84.7,4.564348191467836,-0.010362787035546717,4.439115601658009,0.29439483211084116,4.718498871295094,0.306913434379668,4.460144413937834,0.1862599378836558,4.368181227851829,0.1664781473092285
95.0,80.3,83.3,109.0,81.5,4.553876891600541,-0.010471299867295336,4.400603020246817,-0.03851258141119196,4.6913478822291435,-0.027150989065950704,4.385769620952716,-0.07437479298511818,4.422448549172797,0.05426732132096834
95.0,77.4,90.3,100.9,82.2,4.553876891600541,0.0,4.409155302062135,0.008552281815317642,4.6141299273595635,-0.07721795486957994,4.3489867805956814,-0.036782840357034274,4.5031374604229395,0.08068891125014233
95.0,75.1,88.8,104.6,79.7,4.553876891600541,0.0,4.378269585796169,-0.030885716265965257,4.650143551630823,0.036013624271259204,4.318820558770089,-0.030166221825592032,4.486386649998124,-0.0167508104248153
93.0,73.2,104.8,90.6,82.7,4.532599493153256,-0.02127739844728449,4.415219602029645,0.036950016233475935,4.506454213048934,-0.14368933858188893,4.293195420967266,-0.02562513780282316,4.6520537718869415,0.16566712188881727
94.0,76.9,91.0,79.4,81.1,4.543294782270004,0.010695289116747553,4.395682961121367,-0.019536640908278002,4.37449836825309,-0.13195584479584355,4.3425058765115985,0.04931045554433222,4.51085950651685,-0.14119426537009172
96.0,76.9,70.5,63.2,70.1,4.564348191467836,0.021053409197832273,4.249922794040544,-0.14576016708082307,4.146304301152812,-0.22819406710027845,4.3425058765115985,0.0,4.255612709818223,-0.2552467966986267
96.0,89.4,80.8,81.9,88.3,4.564348191467836,0.0,4.480740107609915,0.23081731356937052,4.405498990859024,0.25919468970621207,4.493120682179469,0.15061480566787022,4.39197696552705,0.13636425570882693
95.0,81.5,89.2,88.9,90.3,4.553876891600541,-0.010471299867295336,4.5031374604229395,0.022397352813024796,4.487512142519859,0.0820131516608349,4.400603020246817,-0.09251766193265176,4.490881039585964,0.09890407405891377
94.0,84.6,79.8,84.7,90.4,4.543294782270004,-0.010582109330536937,4.504244267398131,0.0011068069751916099,4.439115601658009,-0.04839654086184986,4.437934266612178,0.037331246365361004,4.379523504455763,-0.11135753513020052
95.0,79.7,76.7,74.9,74.0,4.553876891600541,0.010582109330536937,4.30406509320417,-0.20017917419396092,4.316153890523174,-0.12296171113483467,4.378269585796169,-0.05966468081600862,4.33990170837321,-0.03962179608255312
95.0,78.0,69.9,64.5,66.7,4.553876891600541,0.0,4.200204952921578,-0.10386014028259183,4.1666652238017265,-0.14948866672144767,4.356708826689592,-0.02156075910657762,4.247065649239764,-0.09283605913344584
